position_id,wk_file,wk_rank,wr_file,wr_rank,bk_file,bk_rank,wk_square,wr_square,bk_square,fen,target_raw,target_depth,target_bucket,bk_edge_dist,bk_corner_dist,bk_center_dist,wk_bk_chebyshev,wr_bk_manhattan,wk_wr_chebyshev,wk_bk_euclidean,wr_bk_euclidean,wr_bk_aligned,wk_support_close,bk_on_edge,bk_in_corner
0,1,1,2,3,3,2,a1,b3,c2,8/8/8/8/8/1R6/2k5/K7 w - - 0 1,draw,-1,draw,1,2,2,2,2,2,2.23606797749979,1.4142135623730951,0,1,0,0
1,1,1,3,1,3,2,a1,c1,c2,8/8/8/8/8/8/2k5/K1R5 w - - 0 1,draw,-1,draw,1,2,2,2,1,2,2.23606797749979,1.0,1,1,0,0
2,1,1,3,1,4,1,a1,c1,d1,8/8/8/8/8/8/8/K1Rk4 w - - 0 1,draw,-1,draw,0,3,3,3,1,2,3.0,1.0,1,0,1,0
3,1,1,3,1,4,2,a1,c1,d2,8/8/8/8/8/8/3k4/K1R5 w - - 0 1,draw,-1,draw,1,3,2,3,2,2,3.1622776601683795,1.4142135623730951,0,0,0,0
4,1,1,3,2,3,1,a1,c2,c1,8/8/8/8/8/8/2R5/K1k5 w - - 0 1,draw,-1,draw,0,2,3,2,1,2,2.0,1.0,1,1,1,0
5,1,1,3,2,3,3,a1,c2,c3,8/8/8/8/8/2k5/2R5/K7 w - - 0 1,draw,-1,draw,2,2,1,2,1,2,2.8284271247461903,1.0,1,1,0,0
6,1,1,3,2,4,1,a1,c2,d1,8/8/8/8/8/8/2R5/K2k4 w - - 0 1,draw,-1,draw,0,3,3,3,2,2,3.0,1.4142135623730951,0,0,1,0
7,1,1,3,2,4,2,a1,c2,d2,8/8/8/8/8/8/2Rk4/K7 w - - 0 1,draw,-1,draw,1,3,2,3,1,2,3.1622776601683795,1.0,1,0,0,0
8,1,1,3,2,4,3,a1,c2,d3,8/8/8/8/8/3k4/2R5/K7 w - - 0 1,draw,-1,draw,2,3,1,3,2,2,3.605551275463989,1.4142135623730951,0,0,0,0
9,1,1,3,3,3,2,a1,c3,c2,8/8/8/8/8/2R5/2k5/K7 w - - 0 1,draw,-1,draw,1,2,2,2,1,2,2.23606797749979,1.0,1,1,0,0
