wk_file,wk_rank,wr_file,wr_rank,bk_file,bk_rank,target_raw,target_depth,target_bucket,bk_edge_dist,bk_corner_dist,bk_center_dist,wk_bk_chebyshev,wr_bk_manhattan,wk_wr_chebyshev,wk_bk_euclidean,wr_bk_euclidean,wr_bk_aligned,wk_support_close,bk_on_edge,bk_in_corner,wk_square,wr_square,bk_square,position_id,active_color,fullmove_number,fen
1,1,2,3,3,2,draw,-1,draw,1,2,2,2,2,2,2.23606797749979,1.4142135623730951,0,1,0,0,a1,b3,c2,0,w,1,8/8/8/8/8/1R6/2k5/K7 w - - 0 1
1,1,3,1,3,2,draw,-1,draw,1,2,2,2,1,2,2.23606797749979,1.0,1,1,0,0,a1,c1,c2,1,w,1,8/8/8/8/8/8/2k5/K1R5 w - - 0 1
1,1,3,1,4,1,draw,-1,draw,0,3,3,3,1,2,3.0,1.0,1,0,1,0,a1,c1,d1,2,w,1,8/8/8/8/8/8/8/K1Rk4 w - - 0 1
1,1,3,1,4,2,draw,-1,draw,1,3,2,3,2,2,3.1622776601683795,1.4142135623730951,0,0,0,0,a1,c1,d2,3,w,1,8/8/8/8/8/8/3k4/K1R5 w - - 0 1
1,1,3,2,3,1,draw,-1,draw,0,2,3,2,1,2,2.0,1.0,1,1,1,0,a1,c2,c1,4,w,1,8/8/8/8/8/8/2R5/K1k5 w - - 0 1
1,1,3,2,3,3,draw,-1,draw,2,2,1,2,1,2,2.8284271247461903,1.0,1,1,0,0,a1,c2,c3,5,w,1,8/8/8/8/8/2k5/2R5/K7 w - - 0 1
1,1,3,2,4,1,draw,-1,draw,0,3,3,3,2,2,3.0,1.4142135623730951,0,0,1,0,a1,c2,d1,6,w,1,8/8/8/8/8/8/2R5/K2k4 w - - 0 1
1,1,3,2,4,2,draw,-1,draw,1,3,2,3,1,2,3.1622776601683795,1.0,1,0,0,0,a1,c2,d2,7,w,1,8/8/8/8/8/8/2Rk4/K7 w - - 0 1
1,1,3,2,4,3,draw,-1,draw,2,3,1,3,2,2,3.605551275463989,1.4142135623730951,0,0,0,0,a1,c2,d3,8,w,1,8/8/8/8/8/3k4/2R5/K7 w - - 0 1
1,1,3,3,3,2,draw,-1,draw,1,2,2,2,1,2,2.23606797749979,1.0,1,1,0,0,a1,c3,c2,9,w,1,8/8/8/8/8/2R5/2k5/K7 w - - 0 1
1,1,3,3,4,2,draw,-1,draw,1,3,2,3,2,2,3.1622776601683795,1.4142135623730951,0,0,0,0,a1,c3,d2,10,w,1,8/8/8/8/8/2R5/3k4/K7 w - - 0 1
1,1,3,3,4,3,draw,-1,draw,2,3,1,3,1,2,3.605551275463989,1.0,1,0,0,0,a1,c3,d3,11,w,1,8/8/8/8/8/2Rk4/8/K7 w - - 0 1
1,1,3,3,4,4,draw,-1,draw,3,3,0,3,2,2,4.242640687119285,1.4142135623730951,0,0,0,0,a1,c3,d4,12,w,1,8/8/8/8/3k4/2R5/8/K7 w - - 0 1
1,1,3,4,4,3,draw,-1,draw,2,3,1,3,2,3,3.605551275463989,1.4142135623730951,0,0,0,0,a1,c4,d3,13,w,1,8/8/8/8/2R5/3k4/8/K7 w - - 0 1
1,1,4,1,3,1,draw,-1,draw,0,2,3,2,1,3,2.0,1.0,1,1,1,0,a1,d1,c1,14,w,1,8/8/8/8/8/8/8/K1kR4 w - - 0 1
1,1,4,1,3,2,draw,-1,draw,1,2,2,2,2,3,2.23606797749979,1.4142135623730951,0,1,0,0,a1,d1,c2,15,w,1,8/8/8/8/8/8/2k5/K2R4 w - - 0 1
1,1,4,1,4,2,draw,-1,draw,1,3,2,3,1,3,3.1622776601683795,1.0,1,0,0,0,a1,d1,d2,16,w,1,8/8/8/8/8/8/3k4/K2R4 w - - 0 1
1,1,4,1,5,1,draw,-1,draw,0,3,3,4,1,3,4.0,1.0,1,0,1,0,a1,d1,e1,17,w,1,8/8/8/8/8/8/8/K2Rk3 w - - 0 1
1,1,4,1,5,2,draw,-1,draw,1,3,2,4,2,3,4.123105625617661,1.4142135623730951,0,0,0,0,a1,d1,e2,18,w,1,8/8/8/8/8/8/4k3/K2R4 w - - 0 1
1,1,4,2,3,1,draw,-1,draw,0,2,3,2,2,3,2.0,1.4142135623730951,0,1,1,0,a1,d2,c1,19,w,1,8/8/8/8/8/8/3R4/K1k5 w - - 0 1
1,1,4,2,3,2,draw,-1,draw,1,2,2,2,1,3,2.23606797749979,1.0,1,1,0,0,a1,d2,c2,20,w,1,8/8/8/8/8/8/2kR4/K7 w - - 0 1
1,1,4,2,3,3,draw,-1,draw,2,2,1,2,2,3,2.8284271247461903,1.4142135623730951,0,1,0,0,a1,d2,c3,21,w,1,8/8/8/8/8/2k5/3R4/K7 w - - 0 1
1,1,4,2,4,1,draw,-1,draw,0,3,3,3,1,3,3.0,1.0,1,0,1,0,a1,d2,d1,22,w,1,8/8/8/8/8/8/3R4/K2k4 w - - 0 1
1,1,4,2,4,3,draw,-1,draw,2,3,1,3,1,3,3.605551275463989,1.0,1,0,0,0,a1,d2,d3,23,w,1,8/8/8/8/8/3k4/3R4/K7 w - - 0 1
1,1,4,2,5,1,draw,-1,draw,0,3,3,4,2,3,4.0,1.4142135623730951,0,0,1,0,a1,d2,e1,24,w,1,8/8/8/8/8/8/3R4/K3k3 w - - 0 1
1,1,4,2,5,2,draw,-1,draw,1,3,2,4,1,3,4.123105625617661,1.0,1,0,0,0,a1,d2,e2,25,w,1,8/8/8/8/8/8/3Rk3/K7 w - - 0 1
1,1,4,2,5,3,draw,-1,draw,2,3,1,4,2,3,4.47213595499958,1.4142135623730951,0,0,0,0,a1,d2,e3,26,w,1,8/8/8/8/8/4k3/3R4/K7 w - - 0 1
1,1,4,3,3,2,draw,-1,draw,1,2,2,2,2,3,2.23606797749979,1.4142135623730951,0,1,0,0,a1,d3,c2,27,w,1,8/8/8/8/8/3R4/2k5/K7 w - - 0 1
1,1,4,3,3,3,draw,-1,draw,2,2,1,2,1,3,2.8284271247461903,1.0,1,1,0,0,a1,d3,c3,28,w,1,8/8/8/8/8/2kR4/8/K7 w - - 0 1
1,1,4,3,4,2,draw,-1,draw,1,3,2,3,1,3,3.1622776601683795,1.0,1,0,0,0,a1,d3,d2,29,w,1,8/8/8/8/8/3R4/3k4/K7 w - - 0 1
1,1,4,3,4,4,draw,-1,draw,3,3,0,3,1,3,4.242640687119285,1.0,1,0,0,0,a1,d3,d4,30,w,1,8/8/8/8/3k4/3R4/8/K7 w - - 0 1
1,1,4,3,5,2,draw,-1,draw,1,3,2,4,2,3,4.123105625617661,1.4142135623730951,0,0,0,0,a1,d3,e2,31,w,1,8/8/8/8/8/3R4/4k3/K7 w - - 0 1
1,1,4,3,5,3,draw,-1,draw,2,3,1,4,1,3,4.47213595499958,1.0,1,0,0,0,a1,d3,e3,32,w,1,8/8/8/8/8/3Rk3/8/K7 w - - 0 1
1,1,4,3,5,4,draw,-1,draw,3,3,0,4,2,3,5.0,1.4142135623730951,0,0,0,0,a1,d3,e4,33,w,1,8/8/8/8/4k3/3R4/8/K7 w - - 0 1
1,1,4,4,3,3,draw,-1,draw,2,2,1,2,2,3,2.8284271247461903,1.4142135623730951,0,1,0,0,a1,d4,c3,34,w,1,8/8/8/8/3R4/2k5/8/K7 w - - 0 1
1,1,4,4,4,3,draw,-1,draw,2,3,1,3,1,3,3.605551275463989,1.0,1,0,0,0,a1,d4,d3,35,w,1,8/8/8/8/3R4/3k4/8/K7 w - - 0 1
1,1,4,4,5,3,draw,-1,draw,2,3,1,4,2,3,4.47213595499958,1.4142135623730951,0,0,0,0,a1,d4,e3,36,w,1,8/8/8/8/3R4/4k3/8/K7 w - - 0 1
1,1,4,4,5,4,draw,-1,draw,3,3,0,4,1,3,5.0,1.0,1,0,0,0,a1,d4,e4,37,w,1,8/8/8/8/3Rk3/8/8/K7 w - - 0 1
1,1,4,4,5,5,draw,-1,draw,3,3,0,4,2,3,5.656854249492381,1.4142135623730951,0,0,0,0,a1,d4,e5,38,w,1,8/8/8/4k3/3R4/8/8/K7 w - - 0 1
1,1,4,5,5,4,draw,-1,draw,3,3,0,4,2,4,5.0,1.4142135623730951,0,0,0,0,a1,d5,e4,39,w,1,8/8/8/3R4/4k3/8/8/K7 w - - 0 1
1,1,5,1,4,1,draw,-1,draw,0,3,3,3,1,4,3.0,1.0,1,0,1,0,a1,e1,d1,40,w,1,8/8/8/8/8/8/8/K2kR3 w - - 0 1
1,1,5,1,4,2,draw,-1,draw,1,3,2,3,2,4,3.1622776601683795,1.4142135623730951,0,0,0,0,a1,e1,d2,41,w,1,8/8/8/8/8/8/3k4/K3R3 w - - 0 1
1,1,5,1,5,2,draw,-1,draw,1,3,2,4,1,4,4.123105625617661,1.0,1,0,0,0,a1,e1,e2,42,w,1,8/8/8/8/8/8/4k3/K3R3 w - - 0 1
1,1,5,1,6,1,draw,-1,draw,0,2,3,5,1,4,5.0,1.0,1,0,1,0,a1,e1,f1,43,w,1,8/8/8/8/8/8/8/K3Rk2 w - - 0 1
1,1,5,1,6,2,draw,-1,draw,1,2,2,5,2,4,5.0990195135927845,1.4142135623730951,0,0,0,0,a1,e1,f2,44,w,1,8/8/8/8/8/8/5k2/K3R3 w - - 0 1
1,1,5,2,4,1,draw,-1,draw,0,3,3,3,2,4,3.0,1.4142135623730951,0,0,1,0,a1,e2,d1,45,w,1,8/8/8/8/8/8/4R3/K2k4 w - - 0 1
1,1,5,2,4,2,draw,-1,draw,1,3,2,3,1,4,3.1622776601683795,1.0,1,0,0,0,a1,e2,d2,46,w,1,8/8/8/8/8/8/3kR3/K7 w - - 0 1
1,1,5,2,4,3,draw,-1,draw,2,3,1,3,2,4,3.605551275463989,1.4142135623730951,0,0,0,0,a1,e2,d3,47,w,1,8/8/8/8/8/3k4/4R3/K7 w - - 0 1
1,1,5,2,5,1,draw,-1,draw,0,3,3,4,1,4,4.0,1.0,1,0,1,0,a1,e2,e1,48,w,1,8/8/8/8/8/8/4R3/K3k3 w - - 0 1
1,1,5,2,5,3,draw,-1,draw,2,3,1,4,1,4,4.47213595499958,1.0,1,0,0,0,a1,e2,e3,49,w,1,8/8/8/8/8/4k3/4R3/K7 w - - 0 1
1,1,5,2,6,1,draw,-1,draw,0,2,3,5,2,4,5.0,1.4142135623730951,0,0,1,0,a1,e2,f1,50,w,1,8/8/8/8/8/8/4R3/K4k2 w - - 0 1
1,1,5,2,6,2,draw,-1,draw,1,2,2,5,1,4,5.0990195135927845,1.0,1,0,0,0,a1,e2,f2,51,w,1,8/8/8/8/8/8/4Rk2/K7 w - - 0 1
1,1,5,2,6,3,draw,-1,draw,2,2,1,5,2,4,5.385164807134504,1.4142135623730951,0,0,0,0,a1,e2,f3,52,w,1,8/8/8/8/8/5k2/4R3/K7 w - - 0 1
1,1,5,3,4,2,draw,-1,draw,1,3,2,3,2,4,3.1622776601683795,1.4142135623730951,0,0,0,0,a1,e3,d2,53,w,1,8/8/8/8/8/4R3/3k4/K7 w - - 0 1
1,1,5,3,4,3,draw,-1,draw,2,3,1,3,1,4,3.605551275463989,1.0,1,0,0,0,a1,e3,d3,54,w,1,8/8/8/8/8/3kR3/8/K7 w - - 0 1
